Scrip,Date,Open,High,Low,Close,Volume,DayIndex
00DSEGEN,01-01-2013,4219.31,4249.03,4187.33,4190.99,15340220,001
00DSEGEN,02-01-2013,4190.99,4192.74,4136.43,4139.08,12081097,002
00DSEGEN,03-01-2013,4139.08,4170.64,4127.49,4160.88,16470090,003
00DSEGEN,06-01-2013,4160.88,4184.07,4160.88,4163.74,14589142,006
00DSEGEN,07-01-2013,4163.74,4164.08,4126.92,4126.92,12197484,007
00DSEGEN,08-01-2013,4126.92,4146.23,4118.77,4118.77,12419211,008
00DSEGEN,09-01-2013,4118.77,4140.1,4111.07,4122.42,17440589,009
00DSEGEN,10-01-2013,4122.42,4141.17,4116.19,4132.99,15240152,010
00DSEGEN,13-01-2013,4132.99,4144.54,4121.56,4123.01,12408194,013
00DSEGEN,14-01-2013,4123.01,4124.6,4109.71,4111.61,11937538,014
00DSEGEN,15-01-2013,4111.61,4118.99,4100.5,4113.17,10431973,015
00DSEGEN,16-01-2013,4113.17,4140.9,4113.17,4132.69,13420857,016
00DSEGEN,17-01-2013,4132.69,4176.88,4132.69,4167.06,15184735,017
00DSEGEN,20-01-2013,4167.06,4173.51,4136.86,4136.86,10618900,020
00DSEGEN,21-01-2013,4136.86,4141.19,4116.25,4116.25,10157212,021
00DSEGEN,22-01-2013,4116.25,4154.14,4116.15,4142.08,15290309,022
00DSEGEN,23-01-2013,4142.08,4172.32,4142.08,4154.08,16205130,023
00DSEGEN,24-01-2013,4154.08,4187.57,4154.08,4167.69,21144153,024
00DSEGEN,27-01-2013,4167.69,4199.89,4167.69,4171.41,21104199,027
00DSEGEN,28-01-2013,4171.41,4206.2,4167.38,4197.44,23191193,028
00DSEGEN,29-01-2013,4197.44,4268.02,4197.44,4250.31,34179914,029
00DSEGEN,30-01-2013,4250.31,4289.13,4225.78,4227.54,28714444,030
00DSEGEN,31-01-2013,4227.54,4243.23,4217.94,4230.69,29811179,031
00DSEGEN,03-02-2013,4230.69,4268.33,4222.8,4261.01,31955831,034
00DSEGEN,04-02-2013,4261.01,4305.57,4261.01,4270.89,35528448,035
00DSEGEN,05-02-2013,4270.89,4317.47,4262.65,4309.33,26603655,036
00DSEGEN,06-02-2013,4309.33,4346.95,4309.33,4319.91,25874809,037
00DSEGEN,07-02-2013,4319.91,4341.42,4314.08,4318.19,33216367,038
00DSEGEN,10-02-2013,4318.19,4357.69,4318.19,4348.66,41850710,041
00DSEGEN,11-02-2013,4348.66,4375.96,4348.66,4354.28,43803254,042
00DSEGEN,12-02-2013,4354.28,4378.77,4332.04,4332.04,43994700,043
00DSEGEN,13-02-2013,4332.04,4359.05,4327.75,4349.97,48272978,044
00DSEGEN,14-02-2013,4349.97,4407.67,4349.97,4396.84,55242589,045
00DSEGEN,17-02-2013,4396.84,4429.01,4373.8,4374.23,45390878,048
00DSEGEN,18-02-2013,4374.23,4392.22,4355.52,4356.61,49964383,049
00DSEGEN,19-02-2013,4356.61,4357.97,4301.12,4301.12,54383251,050
00DSEGEN,20-02-2013,4301.12,4307.58,4253.46,4254.55,43399533,051
00DSEGEN,24-02-2013,4254.55,4254.55,4140.33,4144.95,29596892,055
00DSEGEN,25-02-2013,4144.95,4190.89,4091.3,4093.29,31545757,056
00DSEGEN,26-02-2013,4093.29,4157.34,4092.94,4147.3,26647637,057
00DSEGEN,27-02-2013,4147.3,4152.4,4028.82,4035.27,32458718,058
00DSEGEN,28-02-2013,4035.27,4059.6,4008.34,4047.23,21439127,059
00DSEGEN,03-03-2013,4047.23,4047.23,3840.6,3848.99,26289080,062
00DSEGEN,04-03-2013,3848.99,4008.06,3848.99,3982.49,27315516,063
00DSEGEN,05-03-2013,3982.49,4029.4,3958.3,3963.26,20289507,064
00DSEGEN,06-03-2013,3963.26,3978.42,3933.1,3937.46,27841231,065
00DSEGEN,07-03-2013,3937.46,3937.46,3878.82,3914.23,17894423,066
00DSEGEN,10-03-2013,3914.23,3942.49,3867.59,3873.46,17724191,069
00DSEGEN,11-03-2013,3873.46,3873.46,3794.66,3842.32,19239763,070
00DSEGEN,12-03-2013,3842.32,3893.88,3810.27,3872.54,16491622,071
00DSEGEN,13-03-2013,3872.54,3947.62,3871.67,3925.21,19786869,072
00DSEGEN,14-03-2013,3925.21,3945.42,3913.1,3935.96,17208021,073
00DSEGEN,18-03-2013,3935.96,3955.08,3905.38,3947.74,13888089,077
00DSEGEN,19-03-2013,3947.74,3989.57,3947.74,3976.9,16263925,078
00DSEGEN,20-03-2013,3976.9,3978.78,3935.12,3938.51,18021111,079
00DSEGEN,24-03-2013,3938.51,3943.59,3858.34,3860.13,17089224,083
00DSEGEN,25-03-2013,3860.13,3863.01,3812.54,3818.3,15149124,084
00DSEGEN,27-03-2013,3818.3,3818.3,3741.51,3749.08,14182247,086
00DSEGEN,28-03-2013,3749.08,3805.65,3749.08,3794.29,11604496,087
00DSEGEN,31-03-2013,3794.29,3794.29,3720.68,3722.41,16778512,090
00DSEGEN,01-04-2013,3722.41,3722.41,3610.43,3610.43,13840969,091
00DSEGEN,02-04-2013,3610.43,3666.94,3601.36,3654.75,13050079,092
00DSEGEN,03-04-2013,3654.75,3691.71,3654.75,3673.51,14595392,093
00DSEGEN,04-04-2013,3673.51,3673.51,3636.96,3657.04,14540640,094
00DSEGEN,07-04-2013,3657.04,3665.14,3641.22,3650.68,11434524,097
00DSEGEN,08-04-2013,3650.68,3673.92,3633.88,3665.42,14752480,098
00DSEGEN,09-04-2013,3665.42,3747.16,3665.42,3732.65,18726768,099
00DSEGEN,10-04-2013,3732.65,3786.0,3732.65,3738.7,20979955,100
00DSEGEN,11-04-2013,3738.7,3738.85,3713.33,3720.36,14809951,101
00DSEGEN,15-04-2013,3720.36,3776.43,3720.36,3763.72,20698063,105
00DSEGEN,16-04-2013,3763.72,3765.11,3697.82,3698.73,21978770,106
00DSEGEN,17-04-2013,3698.73,3712.5,3686.69,3701.89,17043816,107
00DSEGEN,18-04-2013,3701.89,3721.69,3701.36,3707.49,20285436,108
00DSEGEN,21-04-2013,3707.49,3724.37,3666.99,3666.99,17778369,111
00DSEGEN,22-04-2013,3666.99,3677.22,3658.54,3660.88,13344574,112
00DSEGEN,23-04-2013,3660.88,3673.74,3659.6,3662.41,12142848,113
00DSEGEN,24-04-2013,3662.41,3672.47,3649.18,3660.6,13022219,114
00DSEGEN,25-04-2013,3660.6,3671.45,3651.02,3653.88,11284321,115
00DSEGEN,28-04-2013,3653.88,3659.12,3610.08,3620.89,11234865,118
00DSEGEN,29-04-2013,3620.89,3630.12,3604.97,3617.35,13454661,119
00DSEGEN,30-04-2013,3617.35,3628.06,3605.98,3618.49,13643257,120
00DSEGEN,02-05-2013,3618.49,3660.03,3596.45,3654.86,17112125,122
00DSEGEN,05-05-2013,3654.86,3670.01,3644.35,3655.31,14056375,125
00DSEGEN,06-05-2013,3655.31,3669.36,3646.74,3663.12,10791285,126
00DSEGEN,07-05-2013,3663.12,3720.69,3663.12,3710.09,18854970,127
00DSEGEN,08-05-2013,3710.09,3753.76,3703.37,3704.35,20978877,128
00DSEGEN,09-05-2013,3704.35,3759.49,3692.84,3742.21,16819118,129
00DSEGEN,12-05-2013,3742.21,3828.55,3742.21,3816.75,26114155,132
00DSEGEN,13-05-2013,3816.75,3894.54,3806.78,3875.83,29540437,133
00DSEGEN,14-05-2013,3875.83,3963.15,3875.83,3957.06,42377085,134
00DSEGEN,15-05-2013,3957.06,3972.65,3899.49,3901.23,40910224,135
00DSEGEN,16-05-2013,3901.23,3992.12,3901.23,3982.07,39618780,136
00DSEGEN,19-05-2013,3982.07,4085.68,3982.07,4079.98,53857862,139
00DSEGEN,20-05-2013,4079.98,4140.49,4070.42,4096.76,47045145,140
00DSEGEN,21-05-2013,4096.76,4112.42,4033.62,4047.24,41798150,141
00DSEGEN,22-05-2013,4047.24,4055.45,3971.6,3974.15,31302567,142
00DSEGEN,26-05-2013,3974.15,3992.44,3895.02,3895.02,16558307,146
00DSEGEN,27-05-2013,3895.02,3983.6,3895.02,3958.81,18742728,147
00DSEGEN,28-05-2013,3958.81,4005.31,3958.81,3977.45,23700910,148
00DSEGEN,29-05-2013,3977.45,4092.47,3977.45,4082.48,43303378,149
00DSEGEN,30-05-2013,4082.48,4148.0,4082.48,4100.51,46676186,150
00DSEGEN,02-06-2013,4100.51,4173.72,4100.51,4162.8,47617199,153
00DSEGEN,03-06-2013,4162.8,4231.18,4161.07,4216.6,54699332,154
