Date,Scrip,Open,High,Low,Close,Volume
20230117,00DS30,2201.33543,2217.49115,2201.53951,2215.25463,9004821000
20230117,00DSES,1362.24515,1372.7033,1362.45179,1371.5372,9004821000
20230117,00DSEX,6246.06583,6286.75178,6248.81124,6281.74365,9004821000
20230117,1JANATAMF,6.1,6.1,6.1,6.1,18356
20230117,1STPRIMFMF,15.6,15.6,15.3,15.4,101663
20230117,AAMRANET,57.2,58.9,56.4,57.5,2877753
20230117,AAMRATECH,41.5,43.4,41.2,42.2,2158809
20230117,ABB1STMF,5.2,5.2,5.2,5.2,10543
20230117,ABBANK,9.9,9.9,9.9,9.9,39220
20230117,ACFL,26.5,26.5,26.5,26.5,21100
20230117,ACI,260.2,260.2,260.2,260.2,793
20230117,ACIFORMULA,155,156.9,155,156.1,139022
20230117,ACMELAB,85,87.7,85,87.4,977562
20230117,ACMEPL,35.4,35.4,35.4,35.4,7651
20230117,ACTIVEFINE,19.3,19.3,19.3,19.3,6567
20230117,ADNTEL,123.7,130.9,123.5,127.5,932062
20230117,ADVENT,26.4,26.8,26,26.4,3469400
20230117,AFCAGRO,23.5,23.8,23.5,23.5,971744
20230117,AFTABAUTO,24.5,25.1,24.5,25,100654
20230117,AGNISYSL,23.8,23.9,23.6,23.8,2249644
20230117,AGRANINS,37.7,38.2,37.7,37.8,113005
20230117,AIBL1STIMF,7.6,7.7,7.6,7.6,11603
20230117,AIL,53.4,53.4,53.4,53.4,251
20230117,AL-HAJTEX,132.1,137.8,132.1,132.4,232762
20230117,ALARABANK,23.6,23.6,23.6,23.6,15435
20230117,ALIF,13.3,13.3,13.3,13.3,23635
20230117,ALLTEX,21,21,21,21,1910
20230117,AMANFEED,33.5,33.5,33.5,33.5,9110
20230117,AMBEEPHA,467.4,483,467.4,481.5,3240
20230117,AMCL(PRAN),249.4,254.3,249.4,250.8,39420
20230117,ANLIMAYARN,32.5,33,31.7,31.8,87440
20230117,ANWARGALV,213.3,217,213.3,213.3,802948
20230117,AOL,36.5,36.5,36.5,36.5,9415
20230117,APEXFOODS,288,291.8,283.7,283.9,90365
20230117,APEXFOOT,257.5,263,257.5,260.4,62937
20230117,APEXSPINN,116.7,117,113.7,115.4,29232
20230117,APEXTANRY,111.4,113,111.4,112.7,39194
20230117,APOLOISPAT,8.2,8.2,8.2,8.2,1338
20230117,ARAMIT,285,287,282.9,284.1,7932
20230117,ARAMITCEM,27.5,27.5,27.5,27.5,2592
20230117,ARGONDENIM,18.2,18.2,18.2,18.2,122529
20230117,ASIAINS,49.9,51.2,49.6,50.9,353573
20230117,ASIAPACINS,43.1,44,43.1,43.8,103462
20230117,ATCSLGF,9.7,9.7,9.7,9.7,5
20230117,ATLASBANG,104.2,104.2,104.2,104.2,2
20230117,AZIZPIPES,94.5,95.8,93.6,93.6,61209
20230117,BANGAS,115.5,115.6,113,114.7,15422
20230117,BANKASIA,20.2,20.2,20.2,20.2,1215000
20230117,BARKAPOWER,21.3,21.3,21.3,21.3,9082
20230117,BATASHOE,952.2,952.2,947,949.5,281
20230117,BATBC,518.7,518.7,518.7,518.7,2067
20230117,BAYLEASING,23.9,23.9,23.9,23.9,688
20230117,BBS,21.6,23.7,21.6,23.6,7486390
20230117,BBSCABLES,49.9,49.9,49.9,49.9,31287
20230117,BDAUTOCA,130.5,135,129.2,129.7,98948
20230117,BDCOM,46.5,48.3,46.3,46.6,3594875
20230117,BDFINANCE,44.1,44.1,44.1,44.1,240
20230117,BDLAMPS,252.2,254.8,252.2,252.2,74085
20230117,BDTHAI,15.2,15.8,15.2,15.7,1688998
20230117,BDTHAIFOOD,43.5,44.5,43.1,43.5,859188
20230117,BDWELDING,25.5,26.2,25.5,25.7,355122
20230117,BEACHHATCH,36.1,36.1,36.1,36.1,14854
20230117,BEACONPHAR,289,290.8,280.1,286.9,165369
20230117,BENGALWTL,32.6,33.9,32.2,33.6,1316559
20230117,BERGERPBL,1737,1737,1721,1727.1,391
20230117,BEXGSUKUK,85,86,85,85,14747
20230117,BEXIMCO,115.6,115.6,115.6,115.6,48917
20230117,BGIC,69.9,70.3,68.1,70,314108
20230117,BIFC,9.9,9.9,9.9,9.9,5
20230117,BNICL,60.9,63.4,60.9,63.1,435034
20230117,BPML,94.7,99.9,94.6,96.7,3574597
20230117,BPPL,29.3,29.3,29.3,29.3,4491
20230117,BRACBANK,38.5,38.5,38.5,38.5,8808
20230117,BSC,134,138.4,133,136.9,4387112
20230117,BSCCL,218.9,218.9,218.9,218.9,13156
20230117,BSRMLTD,90,90,90,90,372
20230117,BSRMSTEEL,63.9,63.9,63.9,63.9,205
20230117,BXPHARMA,149.9,155.4,149,154.1,759770
20230117,CAPMBDBLMF,9.9,9.9,9.9,9.9,500
20230117,CAPMIBBLMF,12.5,12.5,12.5,12.5,78172
